iter	RMSE
0	79066.92899
1	78419.49122
2	77789.20242
3	77262.05579
4	76829.52989
5	76520.72976
6	76255.65596
7	76000.07597
8	75786.02358
9	75622.14221
10	75491.19676
11	75394.70558
12	75303.99601
13	75206.15778
14	75131.38454
15	75074.21109
16	75020.49268
17	74992.72132
18	74945.72659
19	74908.22185
20	74875.61252
21	74836.8799
22	74812.99379
23	74782.84101
24	74745.18223
25	74721.29047
26	74687.89666
27	74672.47101
28	74654.82842
29	74640.34714
30	74621.7341
31	74602.59964
32	74584.87123
33	74573.49133
34	74558.37474
35	74541.41591
36	74521.09071
37	74513.62258
38	74498.02031
39	74484.96895
40	74464.44425
41	74449.22099
42	74438.2898
43	74424.6187
44	74412.73666
45	74400.21402
46	74385.2228
47	74374.56496
48	74349.33043
49	74343.11946
50	74339.04212
51	74330.32001
52	74323.53486
53	74316.99168
54	74311.14923
55	74300.79108
56	74288.11658
57	74281.91064
58	74279.21569
59	74275.30838
60	74269.45762
61	74257.24426
62	74248.42796
63	74237.37211
64	74229.74703
65	74224.97072
66	74213.57689
67	74210.1949
68	74203.9655
69	74194.09001
70	74187.58964
71	74180.10037
72	74174.86702
73	74170.87078
74	74164.02765
75	74159.7797
76	74157.75229
77	74150.70051
78	74134.47199
79	74128.03283
80	74118.86501
81	74108.59251
82	74105.09819
83	74102.62131
84	74090.1717
85	74086.61678
86	74082.88529
87	74079.76955
88	74074.91005
89	74067.31197
90	74060.16292
91	74051.48272
92	74039.03035
93	74029.07959
94	74022.36052
95	74013.51696
96	74008.97465
97	74007.16283
98	73994.25137
99	73987.47262
