iter	Passed	Remaining
0	22	2253
1	43	2153
2	64	2083
3	80	1935
4	103	1957
5	123	1930
6	141	1879
7	157	1814
8	174	1768
9	192	1731
10	208	1688
11	226	1659
12	240	1611
13	258	1585
14	274	1555
15	291	1529
16	307	1502
17	324	1476
18	341	1455
19	358	1434
20	375	1412
21	391	1389
22	409	1370
23	428	1357
24	446	1338
25	462	1317
26	480	1298
27	496	1276
28	514	1259
29	531	1239
30	547	1218
31	563	1198
32	580	1178
33	597	1158
34	616	1144
35	633	1125
36	649	1106
37	668	1090
38	686	1073
39	703	1054
40	719	1035
41	736	1017
42	755	1000
43	773	984
44	791	967
45	809	950
46	827	933
47	845	915
48	863	898
49	879	879
50	895	860
51	913	842
52	932	826
53	952	811
54	970	794
55	986	775
56	1002	756
57	1020	738
58	1035	719
59	1050	700
60	1066	682
61	1082	663
62	1105	649
63	1128	634
64	1146	617
65	1166	601
66	1183	582
67	1203	566
68	1232	553
69	1248	534
70	1268	518
71	1287	500
72	1304	482
73	1322	464
74	1340	446
75	1360	429
76	1376	411
77	1392	392
78	1412	375
79	1430	357
80	1449	340
81	1466	322
82	1486	304
83	1503	286
84	1522	268
85	1541	251
86	1559	233
87	1579	215
88	1598	197
89	1614	179
90	1633	161
91	1648	143
92	1665	125
93	1683	107
94	1699	89
95	1716	71
96	1731	53
97	1750	35
98	1770	17
99	1787	0
